Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5,3.5,1.3,0.3,Iris-setosa
2,4.5,2.3,1.3,0.3,Iris-setosa
3,4.4,3.2,1.3,0.2,Iris-setosa
4,5,3.5,1.6,0.6,Iris-setosa
5,5.1,3.8,1.9,0.4,Iris-setosa
6,4.8,3,1.4,0.3,Iris-setosa
7,5.1,3.8,1.6,0.2,Iris-setosa
8,4.6,3.2,1.4,0.2,Iris-setosa
9,5.3,3.7,1.5,0.2,Iris-setosa
10,4.8,3.1,1.6,0.2,Iris-setosa
11,5.4,3.4,1.5,0.4,Iris-setosa
12,5.2,4.1,1.5,0.1,Iris-setosa
13,5.5,4.2,1.4,0.2,Iris-setosa
14,4.9,3.1,1.5,0.1,Iris-setosa
15,5,3.2,1.2,0.2,Iris-setosa
16,5.5,3.5,1.3,0.2,Iris-setosa
17,4.9,3.1,1.5,0.1,Iris-setosa
18,4.4,3,1.3,0.2,Iris-setosa
19,5.1,3.4,1.5,0.2,Iris-setosa
20,5,3.3,1.4,0.2,Iris-setosa
21,5.5,2.4,3.8,1.1,Iris-versicolor
22,5.5,2.4,3.7,1,Iris-versicolor
23,5.8,2.7,3.9,1.2,Iris-versicolor
24,6,2.7,5.1,1.6,Iris-versicolor
25,5.4,3,4.5,1.5,Iris-versicolor
26,6,3.4,4.5,1.6,Iris-versicolor
27,6.7,3.1,4.7,1.5,Iris-versicolor
28,6.3,2.3,4.4,1.3,Iris-versicolor
29,5.6,3,4.1,1.3,Iris-versicolor
30,5.5,2.5,4,1.3,Iris-versicolor
31,5.5,2.6,4.4,1.2,Iris-versicolor
32,6.1,3,4.6,1.4,Iris-versicolor
33,5.8,2.6,4,1.2,Iris-versicolor
34,5,2.3,3.3,1,Iris-versicolor
35,5.6,2.7,4.2,1.3,Iris-versicolor
36,5.7,3,4.2,1.2,Iris-versicolor
37,5.7,2.9,4.2,1.3,Iris-versicolor
38,6.2,2.9,4.3,1.3,Iris-versicolor
39,5.1,2.5,3,1.1,Iris-versicolor
40,5.7,2.8,4.1,1.3,Iris-versicolor
41,7.4,2.8,6.1,1.9,Iris-virginica
42,7.9,3.8,6.4,2,Iris-virginica
43,6.4,2.8,5.6,2.2,Iris-virginica
44,6.3,2.8,5.1,1.5,Iris-virginica
45,6.1,2.6,5.6,1.4,Iris-virginica
46,7.7,3,6.1,2.3,Iris-virginica
47,6.3,3.4,5.6,2.4,Iris-virginica
48,6.4,3.1,5.5,1.8,Iris-virginica
49,6,3,4.8,1.8,Iris-virginica
50,6.9,3.1,5.4,2.1,Iris-virginica
51,6.7,3.1,5.6,2.4,Iris-virginica
52,6.9,3.1,5.1,2.3,Iris-virginica
53,5.8,2.7,5.1,1.9,Iris-virginica
54,6.8,3.2,5.9,2.3,Iris-virginica
55,6.7,3.3,5.7,2.5,Iris-virginica
56,6.7,3,5.2,2.3,Iris-virginica
57,6.3,2.5,5,1.9,Iris-virginica
58,6.5,3,5.2,2,Iris-virginica
59,6.2,3.4,5.4,2.3,Iris-virginica
60,5.9,3,5.1,1.8,Iris-virginica